_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;BookId
82;black;['black'];[('black', ['A'])];['B4200'];['blacken'];[('blacken', ['A'])];[('blacken', 'A')];schwarz;[['schwarz']];[''];['8378'];[''];[''];aktiv;Welcome;I;a;;;[]
83;white;['white'];[('white', ['A'])];['W3000'];['white'];[('white', ['A'])];[('white', 'A')];weiß;[['weiß']];[''];['38'];[''];[''];aktiv;Welcome;I;a;;;[]
84;brown;['brown'];[('brown', ['A'])];['B6500'];['brown'];[('brown', ['A'])];[('brown', 'A')];braun;[['braun']];[''];['176'];[''];[''];aktiv;Welcome;I;a;;;[]
85;blue;['blue'];[('blue', ['A'])];['B400'];['blue'];[('blue', ['A'])];[('blue', 'A')];blau;[['blau']];[''];['15'];[''];[''];aktiv;Welcome;I;a;;;[]
86;What are your hobbies?;['What are your hobbies'];[('What', ['Pron 3sg wh']), ('are', ['V 2sg PRES', 'V PRES pl']), ('your', ['Pron GEN ref2nd']), ('hobbies', ['N 3pl'])];['W300 W60 W600 W120000'];['what', 'are', 'your', 'hobby'];[('what', ['Pron 3sg wh']), ('are', ['V 2sg PRES', 'V PRES pl']), ('your', ['Pron GEN ref2nd']), ('hobby', ['N 3pl'])];[('what', 'Pron'), ('are', 'V'), ('your', 'Pron'), ('hobby', 'N')];Was sind deine Hobbies?;[['Was sind deine Hobbies']];[''];['38 862 26 018'];[''];[''];passiv;Welcome;I;ph;;;[]
87;music;['music'];[('music', ['N 3sg'])];['M2200'];['music'];[('music', ['N 3sg'])];[('music', 'N')];Musik;[['Musik']];[''];['684'];[''];[''];passiv;Welcome;I;s;;;['54']
88;dancing (no pl);['dancing'];[('dancing', ['V PROG'])];['D525200'];['dance'];[('dance', ['V PROG'])];[('dance', 'V')];Tanzen;[['Tanzen']];[''];['2686'];[''];[''];passiv;Welcome;I;s;;;[]
89;cat;['cat'];[('cat', ['N 3sg'])];['C30'];['cat'];[('cat', ['N 3sg'])];[('cat', 'N')];Katze;[['Katze']];[''];['48'];[''];[''];aktiv;Welcome;I;s;*cat*;ID1383697;['61', '63', '58', '57']
90;better than;['better than'];[('better', ['A COMP']), ('than', ['Prep'])];['B36000 B500'];['better', 'than'];[('better', ['A COMP']), ('than', ['Prep'])];[('better', 'A'), ('than', 'Prep')];besser als;[['besser als']];[''];['187 058'];[''];[''];passiv;Welcome;I;ph;;;[]
91;with;['with'];[('with', ['Prep'])];['W300'];['with'];[('with', ['Prep'])];[('with', 'Prep')];mit;[['mit']];[''];['62'];[''];[''];aktiv;Welcome;I;pr;;;['62', '2', '44']
92;shut up (informal);['shut up'];[('shut', ['V PAST STR', 'V PPART STR', 'V INF']), ('up', ['Part'])];['S300 S1'];['shut', 'up'];[('shut', ['V PAST STR', 'V PPART STR', 'V INF']), ('up', ['Part'])];[('shut', 'V'), ('up', 'Part')];Halt deinen Mund!;[['Halt deinen Mund']];[''];['052 266 662'];[''];[''];passiv;Welcome;I;ph;;;['64']
93;I'm at Camden School for Girls.;"[""I'm at Camden School for Girls""]";"[(""I'm"", ['NVC 1sg PRES']), ('at', ['Prep']), ('Camden', ['PropN 3sg']), ('School', ['N 3sg']), ('for', ['Prep']), ('Girls', ['N 3pl'])]";['I50 I3 I53500 I40000 I60 I6420'];['I am', 'at', 'Camden', 'school', 'for', 'girl'];[('I am', ['NVC 1sg PRES']), ('at', ['Prep']), ('Camden', ['PropN 3sg']), ('school', ['N 3sg']), ('for', ['Prep']), ('girl', ['N 3pl'])];[('I am', 'NVC'), ('at', 'Prep'), ('Camden', 'PropN'), ('school', 'N'), ('for', 'Prep'), ('girl', 'N')];Ich bin auf der Camden School for Girls.;[['Ich bin auf der Camden School for Girls']];[''];['04 16 03 27 4626 85 37 4758'];[''];[''];passiv;Welcome;I;ph;;;[]
94;school;['school'];[('school', ['N 3sg'])];['S40000'];['school'];[('school', ['N 3sg'])];[('school', 'N')];Schule;[['Schule']];[''];['85'];[''];[''];aktiv;Welcome;I;s;;;['69', '71', '68']
95;for;['for'];[('for', ['Prep'])];['F60'];['for'];[('for', ['Prep'])];[('for', 'Prep')];für;[['für']];[''];['37'];[''];[''];aktiv;Welcome;I;pr;;;['67', '65', '71']
96;boy;['boy'];[('boy', ['N 3sg'])];['B00'];['boy'];[('boy', ['N 3sg'])];[('boy', 'N')];Junge;[['Junge']];[''];['064'];[''];[''];aktiv;Welcome;I;s;*girl* <> *boy*;ID1383701;['71']
97;girl;['girl'];[('girl', ['N 3sg'])];['G640'];['girl'];[('girl', ['N 3sg'])];[('girl', 'N')];Mädchen;[['Mädchen']];[''];['6846'];[''];[''];aktiv;Welcome;I;s;*girl* <> *boy*;ID1383701;[]
98;to go to school together;['to go to school together'];[('to', ['V TO']), ('go', ['V INF']), ('to', ['V TO']), ('school', ['N 3sg']), ('together', ['Adv'])];['T0 T0 T0 T40000 T2360000'];['go', 'to', 'school', 'together'];[('go', ['V INF']), ('to', ['V TO']), ('school', ['N 3sg']), ('together', ['Adv'])];[('go', 'V'), ('to', 'V'), ('school', 'N'), ('together', 'Adv')];zusammen zur Schule gehen;[['zusammen zur Schule gehen']];[''];['8866 87 85 46'];[''];[''];passiv;Welcome;I;ph;;;['68']
99;he's (= he is);"[[""he's""], ['he is']]";"[[(""he's"", ['NVC 3sg PRES masc'])], [('he', ['Pron 3sg masc nom']), ('is', ['V 3sg PRES'])]]";[['H200'], ['H0 H2']];[['he has'], ['he', 'be']];[[('he has', ['NVC 3sg PRES masc'])], [('he', ['Pron 3sg masc nom']), ('be', ['V 3sg PRES'])]];[[('he has', 'NVC')], [('he', 'Pron'), ('be', 'V')]];er ist;[['er ist']];[''];['07 082'];[''];[''];passiv;Welcome;I;ph;;;['76']
100;friend;['friend'];[('friend', ['N 3sg'])];['F65300'];['friend'];[('friend', ['N 3sg'])];[('friend', 'N')];Freund/in;[['Freund'], ['Freundin']];[''];[['3762'], ['37626']];[''];[''];aktiv;Welcome;I;s;;;['73']
101;yes;['yes'];[('yes', [['Adv']])];['Y20'];['yes'];[('yes', [['Adv']])];[('yes', 'Adv')];ja;[['ja']];[''];['0'];[''];[''];aktiv;Welcome;I;av;*yes* <> *no*;;[]
102;his;['his'];[('his', ['Det GEN ref3sg refmasc'])];['H20'];['his'];[('his', ['Det GEN ref3sg refmasc'])];[('his', 'Det')];sein(e, r);[['sein'], ['seine'], ['seiner']];[''];[['86'], ['86'], ['867']];[''];[''];aktiv;Welcome;I;d;#unter Jung Illu# *His* name is Alex.;ID1383695;[]
103;her;['her'];[('her', ['Det GEN ref3sg reffem'])];['H60'];['her'];[('her', ['Det GEN ref3sg reffem'])];[('her', 'Det')];ihr(e, r);[['ihr'], ['ihre'], ['ihrer']];[''];[['07'], ['07'], ['077']];[''];[''];aktiv;Welcome;I;d;# unter Mädchen Illu# *Her* name is Jo.;ID1383695;[]
104;no;['no'];[('no', ['Adv'])];['N0'];['no'];[('no', ['Adv'])];[('no', 'Adv')];nein;[['nein']];[''];['66'];[''];[''];aktiv;Welcome;I;av;;;[]
105;So he isn't a baby like George.;"[""So he isn't a baby like George""]";"[('So', ['Adv']), ('he', ['Pron 3sg masc nom']), (""isn't"", ['V 3sg CONTR NEG PRES']), ('a', ['Det']), ('baby', ['N 3sg']), ('like', ['Prep']), ('George', ['PropN 3sg'])]";['S0 S0 S2530 S S100 S200 S62000'];['so', 'he', 'be', 'a', 'baby', 'like', 'George'];[('so', ['Adv']), ('he', ['Pron 3sg masc nom']), ('be', ['V 3sg CONTR NEG PRES']), ('a', ['Det']), ('baby', ['N 3sg']), ('like', ['Prep']), ('George', ['PropN 3sg'])];[('so', 'Adv'), ('he', 'Pron'), ('be', 'V'), ('a', 'Det'), ('baby', 'N'), ('like', 'Prep'), ('George', 'PropN')];Also ist er kein Baby wie George.;[['Also ist er kein Baby wie George']];[''];['058 082 07 46 11 3 474'];[''];[''];passiv;Welcome;I;ph;;;[]
106;like;['like'];[('like', ['Prep'])];['L200'];['like'];[('like', ['Prep'])];[('like', 'Prep')];wie;[['wie']];[''];['3'];[''];[''];passiv;Welcome;I;pr;;;['17', '81', '34']
107;on;['on'];[('on', ['Prep'])];['O5'];['on'];[('on', ['Prep'])];[('on', 'Prep')];auf;[['auf']];[''];['03'];[''];[''];aktiv;Welcome;I;pr;;;['42', '43', '44', '49', '83']
108;bed;['bed'];[('bed', ['N 3sg'])];['B30'];['bed'];[('bed', ['N 3sg'])];[('bed', 'N')];Bett;[['Bett']];[''];['12'];[''];[''];aktiv;Welcome;I;s;*bed*;ID1348821;['83']
109;you're (= you are);"[[""you're""], ['you are']]";"[[(""you're"", ['NVC 2nd PRES'])], [('you', ['Pron 2nd nomacc']), ('are', ['V 2sg PRES', 'V PRES pl'])]]";[['Y60000'], ['Y00 Y60']];[['you are'], ['you', 'are']];[[('you are', ['NVC 2nd PRES'])], [('you', ['Pron 2nd nomacc']), ('are', ['V 2sg PRES', 'V PRES pl'])]];[[('you are', 'NVC')], [('you', 'Pron'), ('are', 'V')]];hier: du bist;[['du bist']];[''];['2 182'];[''];[''];passiv;Welcome;I;ph;;;[]
110;colour;['colour'];[('colour', ['N 3sg'])];['C46000'];['colour'];[('colour', ['N 3sg'])];[('colour', 'N')];Farbe;[['Farbe']];[''];['371'];[''];[''];aktiv;Welcome;I;s;;;[]
111;are;['are'];[('are', ['V 2sg PRES', 'V PRES pl'])];['A60'];['are'];[('are', ['V 2sg PRES', 'V PRES pl'])];[('are', 'V')];hier: sind;[['sind']];[''];['862'];[''];[''];aktiv;Welcome;I;irr;;;[]
112;example;['example'];[('example', ['N 3sg'])];['E251400'];['example'];[('example', ['N 3sg'])];[('example', 'N')];Beispiel;[['Beispiel']];[''];['1815'];[''];[''];aktiv;Welcome;I;s;;;[]
113;for example;['for example'];[('for', ['Prep']), ('example', ['N 3sg'])];['F60 F251400'];['for', 'example'];[('for', ['Prep']), ('example', ['N 3sg'])];[('for', 'Prep'), ('example', 'N')];zum Beispiel;[['zum Beispiel']];[''];['86 1815'];[''];[''];aktiv;Welcome;I;ph;;;[]
114;at school;['at school'];[('at', ['Prep']), ('school', ['N 3sg'])];['A3 A40000'];['at', 'school'];[('at', ['Prep']), ('school', ['N 3sg'])];[('at', 'Prep'), ('school', 'N')];in der Schule;[['in der Schule']];[''];['06 27 85'];[''];[''];passiv;1/A;I;ph;;;[]
115;Monday;['Monday'];[('Monday', ['PropN 3sg', 'N 3sg'])];['M53000'];['Monday'];[('Monday', ['PropN 3sg', 'N 3sg'])];[[('Monday', 'PropN')], [('Monday', 'N')]];Montag;[['Montag']];[''];['6624'];[''];[''];aktiv;1/A;I;s;;;['93', '106']
116;what's (= what is);"[[""what's""], ['what is']]";"[[(""what's"", ['NVC 3sg PRES wh'])], [('what', ['Pron 3sg wh']), ('is', ['V 3sg PRES'])]]";[['W32000'], ['W300 W2']];[['what is'], ['what', 'be']];[[('what is', ['NVC 3sg PRES wh'])], [('what', ['Pron 3sg wh']), ('be', ['V 3sg PRES'])]];[[('what is', 'NVC')], [('what', 'Pron'), ('be', 'V')]];was ist;[['was ist']];[''];['38 082'];[''];[''];aktiv;1/A1;I;ph;*What's* your favourite sport?;;[]
117;school bag;['school bag'];[('school', ['N 3sg']), ('bag', ['N 3sg'])];['S40000 S20'];['school', 'bag'];[('school', ['N 3sg']), ('bag', ['N 3sg'])];[('school', 'N'), ('bag', 'N')];Schultasche;[['Schultasche']];[''];['8528'];[''];[''];aktiv;1/A1;I;s;*school bag*;ID1376970;['86', '85', '87']
118;there;['there'];[('there', ['A', 'Adv', 'Pron', 'Prep'])];['T6000'];['there'];[('there', ['A', 'Adv', 'Pron', 'Prep'])];[('there', 'Adv')];dort, da;[['dort'], ['da']];[''];[['272'], ['2']];[''];[''];aktiv;1/A1;I;av;;;['96', '86', '95', '97']
119;there is/are;[['there is'], ['there are']];[[('there', ['Adv']), ('is', ['V 3sg PRES'])], [('there', ['Adv']), ('are', ['V 2sg PRES', 'V PRES pl'])]];[['T6000 T2'], ['T6000 T60']];[['there', 'be'], ['there', 'are']];[[('there', ['Adv']), ('be', ['V 3sg PRES'])], [('there', ['Adv']), ('are', ['V 2sg PRES', 'V PRES pl'])]];[[('there', 'Adv'), ('be', 'V')], [('there', 'Adv'), ('are', 'V')]];es gibt, da ist, da sind;[['es gibt'], ['da ist'], ['da sind']];[''];[['08 412'], ['2 082'], ['2 862']];[''];[''];aktiv;1/A1;I;ph;;;['96', '86', '95', '97']
120;pen;['pen'];[('pen', ['N 3sg'])];['P50'];['pen'];[('pen', ['N 3sg'])];[('pen', 'N')];Stift;[['Stift']];[''];['8232'];[''];[''];aktiv;1/A1;I;s;*pen*;ID1348789;['86', '95', '88']
121;there's (= there is);"[[""there's""], ['there is']]";"[[(""there's"", ['NVC 3sg PRES'])], [('there', ['Adv']), ('is', ['V 3sg PRES'])]]";[['T620000'], ['T6000 T2']];[['there is'], ['there', 'be']];[[('there is', ['NVC 3sg PRES'])], [('there', ['Adv']), ('be', ['V 3sg PRES'])]];[[('there is', 'NVC')], [('there', 'Adv'), ('be', 'V')]];es gibt, da ist;[['es gibt'], ['da ist']];[''];[['08 412'], ['2 082']];[''];[''];aktiv;1/A1;I;ph;;;['96', '86', '95', '97']
122;pencil case;['pencil case'];[('pencil', ['N 3sg']), ('case', ['N 3sg'])];['P52400 P200'];['pencil', 'case'];[('pencil', ['N 3sg']), ('case', ['N 3sg'])];[('pencil', 'N'), ('case', 'N')];Federmäppchen;[['Federmäppchen']];[''];['3276146'];[''];[''];aktiv;1/A1;I;s;*pencil case*;ID1310567;['99']
123;paper (no pl);['paper'];[('paper', ['N 3sg'])];['P1600'];['paper'];[('paper', ['N 3sg'])];[('paper', 'N')];Papier;[['Papier']];[''];['117'];[''];[''];aktiv;1/A1;I;s;;;['89']
124;piece of paper;['piece of paper'];[('piece', ['N 3sg']), ('of', ['Prep']), ('paper', ['N 3sg'])];['P2000 P1 P1600'];['piece', 'of', 'paper'];[('piece', ['N 3sg']), ('of', ['Prep']), ('paper', ['N 3sg'])];[('piece', 'N'), ('of', 'Prep'), ('paper', 'N')];Blatt Papier;[['Blatt Papier']];[''];['152 117'];[''];[''];aktiv;1/A1;I;ph;*piece of paper*;ID1348825;[]
125;pencil;['pencil'];[('pencil', ['N 3sg'])];['P52400'];['pencil'];[('pencil', ['N 3sg'])];[('pencil', 'N')];Bleistift;[['Bleistift']];[''];['158232'];[''];[''];aktiv;1/A1;I;s;*pencil*;ID1329997;['89', '99']
126;scissors (only pl);['scissors'];[('scissors', ['N 3sg'])];['S2620000'];['scissor'];[('scissor', ['N 3sg'])];[('scissor', 'N')];Schere;[['Schere']];[''];['87'];[''];[''];aktiv;1/A1;I;s;*scissors*;ID1348783;[]
127;glue (no pl);['glue'];[('glue', ['N 3sg'])];['G400'];['glue'];[('glue', ['N 3sg'])];[('glue', 'N')];Klebstoff;[['Klebstoff']];[''];['451823'];[''];[''];aktiv;1/A1;I;s;*glue*;ID1348824;['89']
128;ruler;['ruler'];[('ruler', ['N 3sg'])];['R4600'];['ruler'];[('ruler', ['N 3sg'])];[('ruler', 'N')];Lineal;[['Lineal']];[''];['565'];[''];[''];aktiv;1/A1;I;s;*ruler*;ID1329998;['91']
129;word;['word'];[('word', ['N 3sg'])];['W630'];['word'];[('word', ['N 3sg'])];[('word', 'N')];Wort;[['Wort']];[''];['372'];[''];[''];aktiv;1/A2;I;s;"My favourite *word* is ""sandwich"".";;[]
130;again;['again'];[('again', ['Adv'])];['A2500'];['again'];[('again', ['Adv'])];[('again', 'Adv')];wieder, noch einmal;[['wieder'], ['noch einmal']];[''];[['327'], ['64 065']];[''];[''];aktiv;1/A2;I;av;;;['90']
131;it's (= it is);"[[""it's""], ['it is']]";"[[(""it's"", ['NVC 3sg PRES neut'])], [('it', ['Pron 3sg neut']), ('is', ['V 3sg PRES'])]]";[['I320'], ['I3 I2']];[['it is'], ['it', 'be']];[[('it is', ['NVC 3sg PRES neut'])], [('it', ['Pron 3sg neut']), ('be', ['V 3sg PRES'])]];[[('it is', 'NVC')], [('it', 'Pron'), ('be', 'V')]];es ist;[['es ist']];[''];['08 082'];[''];[''];aktiv;1/A2;I;ph;;;[]
132;day;['day'];[('day', ['N 3sg'])];['D00'];['day'];[('day', ['N 3sg'])];[('day', 'N')];Tag;[['Tag']];[''];['24'];[''];[''];aktiv;1/A2;I;s;a year = 365 *days*;;['93', '106']
133;homework planner;['homework planner'];[('homework', ['N 3sg']), ('planner', ['N 3sg'])];['H5620000 H456000'];['homework', 'planner'];[('homework', ['N 3sg']), ('planner', ['N 3sg'])];[('homework', 'N'), ('planner', 'N')];Hausaufgabenheft;[['Hausaufgabenheft']];[''];['08341632'];[''];[''];passiv;1/A2;I;s;;;['89']
134;where;['where'];[('where', ['Adv wh'])];['W6000'];['where'];[('where', ['Adv wh'])];[('where', 'Adv')];wo;[['wo']];[''];['3'];[''];[''];aktiv;1/A2;I;av;;;['99']
135;where's (= where is);"[[""where's""], ['where is']]";"[[(""where's"", ['NVC 3sg PRES wh'])], [('where', ['Adv wh']), ('is', ['V 3sg PRES'])]]";[['W620000'], ['W6000 W2']];[['where is'], ['where', 'be']];[[('where is', ['NVC 3sg PRES wh'])], [('where', ['Adv wh']), ('be', ['V 3sg PRES'])]];[[('where is', 'NVC')], [('where', 'Adv'), ('be', 'V')]];wo ist;[['wo ist']];[''];['3 082'];[''];[''];aktiv;1/A2;I;ph;;;['99']
136;Where is …? / Where are …?;[['Where is'], ['Where are']];[[('Where', ['Adv wh']), ('is', ['V 3sg PRES'])], [('Where', ['Adv wh']), ('are', ['V 2sg PRES', 'V PRES pl'])]];[['W6000 W2'], ['W6000 W60']];[['where', 'be'], ['where', 'are']];[[('where', ['Adv wh']), ('be', ['V 3sg PRES'])], [('where', ['Adv wh']), ('are', ['V 2sg PRES', 'V PRES pl'])]];[[('where', 'Adv'), ('be', 'V')], [('where', 'Adv'), ('are', 'V')]];Wo ist …? / Wo sind …?;[['Wo ist'], ['Wo sind']];[''];[['3 082'], ['3 862']];[''];[''];aktiv;1/A2;I;ph;*Where's ... ? = Where is ... ?*;;['99']
137;mobile (= mobile phone);[['mobile'], ['mobile phone']];[[('mobile', ['N 3sg'])], [('mobile', ['N 3sg']), ('phone', ['N 3sg'])]];[['M14000'], ['M14000 M5000']];[['mobile'], ['mobile', 'phone']];[[('mobile', ['N 3sg'])], [('mobile', ['N 3sg']), ('phone', ['N 3sg'])]];[[('mobile', 'N')], [('mobile', 'N'), ('phone', 'N')]];Mobiltelefon, Handy;[['Mobiltelefon'], ['Handy']];[''];[['6152536'], ['062']];[''];[''];aktiv;1/A2;I;s;*mobile phone*;ID1348782;[]
138;pocket money;['pocket money'];[('pocket', ['N 3sg']), ('money', ['N 3sg'])];['P23000 P5000'];['pocket', 'money'];[('pocket', ['N 3sg']), ('money', ['N 3sg'])];[('pocket', 'N'), ('money', 'N')];Taschengeld;[['Taschengeld']];[''];['286452'];[''];[''];passiv;1/A2;I;s;;;['91']
139;that;['that'];[('that', ['Pron'])];['T300'];['that'];[('that', ['Pron'])];[('that', 'Pron')];das, der/die/das;[['das'], ['der'], ['die'], ['das']];[''];[['28'], ['27'], ['2'], ['28']];[''];[''];aktiv;1/A2;I;p;;;[]
140;that's (= that is);"[[""that's""], ['that is']]";"[[(""that's"", ['NVC 3sg PRES'])], [('that', ['Det']), ('is', ['V 3sg PRES'])]]";[['T32000'], ['T300 T2']];[['that is'], ['that', 'be']];[[('that is', ['NVC 3sg PRES'])], [('that', ['Det']), ('be', ['V 3sg PRES'])]];[[('that is', 'NVC')], [('that', 'Det'), ('be', 'V')]];das ist;[['das ist']];[''];['28 082'];[''];[''];aktiv;1/A2;I;ph;;;[]
141;not;['not'];[('not', ['Adv'])];['N30'];['not'];[('not', ['Adv'])];[('not', 'Adv')];nicht;[['nicht']];[''];['642'];[''];[''];aktiv;1/A2;I;av;That's not *funny*!;;['92', '101', '93', '106']
142;that's not (= that is not);"[[""that's not""], ['that is not']]";"[[(""that's"", ['NVC 3sg PRES']), ('not', ['Adv'])], [('that', ['Det']), ('is', ['V 3sg PRES']), ('not', ['Adv'])]]";[['T32000 T30'], ['T300 T2 T30']];[['that is', 'not'], ['that', 'be', 'not']];[[('that is', ['NVC 3sg PRES']), ('not', ['Adv'])], [('that', ['Det']), ('be', ['V 3sg PRES']), ('not', ['Adv'])]];[[('that is', 'NVC'), ('not', 'Adv')], [('that', 'Det'), ('be', 'V'), ('not', 'Adv')]];das ist nicht;[['das ist nicht']];[''];['28 082 642'];[''];[''];aktiv;1/A2;I;ph;;;[]
143;funny;['funny'];[('funny', ['A'])];['F5000'];['funny'];[('funny', ['A'])];[('funny', 'A')];lustig, witzig, komisch;[['lustig'], ['witzig'], ['komisch']];[''];[['5824'], ['384'], ['468']];[''];[''];aktiv;1/A2;I;a;;;['92']
144;book;['book'];[('book', ['N 3sg'])];['B200'];['book'];[('book', ['N 3sg'])];[('book', 'N')];Buch;[['Buch']];[''];['14'];[''];[''];aktiv;1/A2;I;s;*book*;ID1330000;['96', '97', '100']
145;apple;['apple'];[('apple', ['N 3sg'])];['A1400'];['apple'];[('apple', ['N 3sg'])];[('apple', 'N')];Apfel;[['Apfel']];[''];['0135'];[''];[''];aktiv;1/A2;I;s;;;['100']
146;now;['now'];[('now', ['Adv'])];['N00'];['now'];[('now', ['Adv'])];[('now', 'Adv')];jetzt, nun;[['jetzt'], ['nun']];[''];[['082'], ['66']];[''];[''];aktiv;1/A2;I;av;;;['101', '99']
147;bag;['bag'];[('bag', ['N 3sg'])];['B20'];['bag'];[('bag', ['N 3sg'])];[('bag', 'N')];Tasche;[['Tasche']];[''];['28'];[''];[''];aktiv;1/A2;I;s;;;['86', '101', '85', '87']
148;heavy;['heavy'];[('heavy', ['A'])];['H1000'];['heavy'];[('heavy', ['A'])];[('heavy', 'A')];schwer;[['schwer']];[''];['837'];[''];[''];passiv;1/A2;I;a;;;['101']
149;or;['or'];[('or', ['Conj'])];['O6'];['or'];[('or', ['Conj'])];[('or', 'Conj')];oder;[['oder']];[''];['027'];[''];[''];aktiv;1/A4;I;k;;;[]
150;room;['room'];[('room', ['N 3sg'])];['R500'];['room'];[('room', ['N 3sg'])];[('room', 'N')];Zimmer, Raum;[['Zimmer'], ['Raum']];[''];[['867'], ['76']];[''];[''];aktiv;1/A4;I;s;;;[]
151;right;['right'];[('right', ['A'])];['R2300'];['right'];[('right', ['A'])];[('right', 'A')];richtig;[['richtig']];[''];['7424'];[''];[''];aktiv;1/A4;I;a;*right* <> *wrong*;;[]
152;wrong;['wrong'];[('wrong', ['A'])];['W6520'];['wrong'];[('wrong', ['A'])];[('wrong', 'A')];FALSCH;[['FALSCH']];[''];['358'];[''];[''];aktiv;1/A4;I;a;;;['98']
153;next to;['next to'];[('next', [['Prep']]), ('to', ['Prep'])];['N230 N0'];['next', 'to'];[('next', [['Prep']]), ('to', ['Prep'])];[('next', 'Prep'), ('to', 'Prep')];neben;[['neben']];[''];['616'];[''];[''];aktiv;1/A4;I;pr;*next to*;ID1329975;[]
154;in;['in'];[('in', ['Prep'])];['I5'];['in'];[('in', ['Prep'])];[('in', 'Prep')];in;[['in']];[''];['06'];[''];[''];aktiv;1/A4;I;pr;*in*;ID1329972;['86', '102', '85', '87']
155;under;['under'];[('under', ['Prep'])];['U5360'];['under'];[('under', ['Prep'])];[('under', 'Prep')];unter;[['unter']];[''];['0627'];[''];[''];aktiv;1/A4;I;pr;*under*;ID1329974;[]
156;in front of;['in front of'];[('in', ['Prep']), ('front', [['Prep']]), ('of', ['Prep'])];['I5 I6530 I1'];['in', 'front', 'of'];[('in', ['Prep']), ('front', [['Prep']]), ('of', ['Prep'])];[('in', 'Prep'), ('front', 'Prep'), ('of', 'Prep')];vor;[['vor']];[''];['37'];[''];[''];aktiv;1/A4;I;pr;*in front of*;ID1329976;[]
157;behind;['behind'];[('behind', ['Prep'])];['B53000'];['behind'];[('behind', ['Prep'])];[('behind', 'Prep')];hinter;[['hinter']];[''];['0627'];[''];[''];aktiv;1/A4;I;pr;*behind*;ID1329978;[]
158;between;['between'];[('between', ['Prep'])];['B350000'];['between'];[('between', ['Prep'])];[('between', 'Prep')];zwischen;[['zwischen']];[''];['8386'];[''];[''];aktiv;1/A4;I;pr;*between*;ID1329977;[]
159;exercise book;['exercise book'];[('exercise', ['N 3sg']), ('book', ['N 3sg'])];['E2622000 E200'];['exercise', 'book'];[('exercise', ['N 3sg']), ('book', ['N 3sg'])];[('exercise', 'N'), ('book', 'N')];Heft;[['Heft']];[''];['032'];[''];[''];aktiv;1/A4;I;s;;;['97']
160;first;['first'];[('first', ['A'])];['F6230'];['first'];[('first', ['A'])];[('first', 'A')];erste(r, s);[['erste'], ['erster'], ['erstes']];[''];[['0782'], ['07827'], ['07828']];[''];[''];passiv;1/B;I;a;;;['108', '154']
161;at;['at'];[('at', ['Prep'])];['A3'];['at'];[('at', ['Prep'])];[('at', 'Prep')];auf, an, in, bei;[['auf'], ['an'], ['in'], ['bei']];[''];[['03'], ['06'], ['06'], ['1']];[''];[''];aktiv;1/B1;I;pr;George is *at* William Ellis School.;;['108', '179', '130', '159', '181', '157', '170']
162;you're (= you are);"[[""you're""], ['you are']]";"[[(""you're"", ['NVC 2nd PRES'])], [('you', ['Pron 2nd nomacc']), ('are', ['V 2sg PRES', 'V PRES pl'])]]";[['Y60000'], ['Y00 Y60']];[['you are'], ['you', 'are']];[[('you are', ['NVC 2nd PRES'])], [('you', ['Pron 2nd nomacc']), ('are', ['V 2sg PRES', 'V PRES pl'])]];[[('you are', 'NVC')], [('you', 'Pron'), ('are', 'V')]];du bist, ihr seid, Sie sind;[['du bist'], ['ihr seid'], ['Sie sind']];[''];[['2 182'], ['07 82'], ['8 862']];[''];[''];aktiv;1/B1;I;ph;;;[]
163;late;['late'];[('late', ['A'])];['L300'];['late'];[('late', ['A'])];[('late', 'A')];(zu) spät;[['spät'], ['zu spät']];[''];[['812'], ['8 812']];[''];[''];aktiv;1/B1;I;a;;ID1389838;['143', '196']
